motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Nfe2l2	Nfe2l2	0.0187652663998753	0.0156315127066013	0.954995944929828	0	0.960078517622947	0	1.2470712019125
Nfia	Nfia	0.0276272796236877	0.0194479158833788	0.265246556427215	1547	0.237688578365895	1520	1.16488537947058
Nfic_Nfib	Nfic	0.0150611551158368	0.00227926637231995	0.281665326707319	-1429	0.472909657651377	-107	1.84081776128546
Nfic_Nfib	Nfib	0.0150611551158368	0.00227926637231995	0.992719314173987	0	0.871211390395928	1	1.84081776128546
Nfix	Nfix	0.0169448027852422	0.0228147766439225	0.948375287667035	-3	0.909935695042745	-23	1.41316261990312
Nkx2-2	Nkx2-2	0.00171267466903233	0.00181890854459041	0.719132693733513	115	0.266703967551497	-2	1.89012037923927
Nkx6-1_Evx1_Hesx1	Nkx6-1	0.0048521306152478	0.0140047548185037	0.274831075114868	1445	0.989371865762773	0	1.68049527434075
Nkx6-1_Evx1_Hesx1	Evx1	0.0048521306152478	0.0140047548185037	NaN	NaN	NaN	NaN	1.68049527434075
Nkx6-1_Evx1_Hesx1	Hesx1	0.0048521306152478	0.0140047548185037	NaN	NaN	NaN	NaN	1.68049527434075
Nr1h4	Nr1h4	0.00734583195805083	0.00679952704603053	0.173363545081948	-581	0.225559834979635	1529	1.64676069811944
Nr2c1	Nr2c1	0.0155979815088882	0.0108872228612958	0.335228743986206	-1565	0.606723615619685	2	1.68963610281478
Nr2f1_Nr4a1	Nr2f1	0.00549100042377659	0.00271686339740349	NaN	NaN	NaN	NaN	2.58983618494512
Nr2f1_Nr4a1	Nr4a1	0.00549100042377659	0.00271686339740349	0.961105527789779	2	0.250061883010033	1549	2.58983618494512
Nr2f6	Nr2f6	0.0029996499690671	0.00460838072671101	0.222251444993457	1663	0.264575291696952	1529	1.90001023991127
Nr4a2	Nr4a2	0.0158318857665643	0.00809647675177785	0.277652960967999	-1493	0.910926473028229	1	2.88546380985964
Nr5a2	Nr5a2	0.0031734332971809	0.00721955890684948	0.901411819885719	0	0.255378743941308	1531	1.45554321798504
Nr6a1	Nr6a1	0.00565302305683182	0.0135118952186929	0.24170953381272	670	0.981130331866297	-1	2.04872962182449
Nrf1	Nrf1	0.00116880372242103	0.00119109051928112	0.171933139339377	1692	0.170560747726845	1560	1.17885245485962
Onecut1_Cux2	Onecut1	0.00473845963088208	0.0300608164129253	NaN	NaN	NaN	NaN	1.83646379571446
Onecut1_Cux2	Cux2	0.00473845963088208	0.0300608164129253	0.278089267679405	-1592	0.964286351030399	-51	1.83646379571446
Pax4	Pax4	0.0010403374610854	0.0112067630956727	0.363494849132312	-173	0.224381263385415	-1527	1.73935406692113
Pax6	Pax6	0.0036284910053636	0.00355002009038264	0.396521400446954	1657	0.333681779602846	-73	1.92987653742865
Pbx1_Pbx3	Pbx1	0.00805823221287914	0.00613709916391181	0.26036334368625	-1543	0.608728127459698	2	2.32547204914318
